"Auf der Alm da gibt's koa Sünd" - Die Erotikfilme der 1960er, -70er und -80er Jahre	['german cinema', 'erotica']
101 Dalmatians II: Patch's London Adventure	['london, england', 'cartoon', 'sequel', 'puppy', 'dog', 'dalmatian', 'aftercreditsstinger']
101 Rent Boys	['hustler', 'los angeles, california', 'lgbt', 'rent boy', 'gay theme']
101 Reykjavik	['pregnancy', 'longing', 'unwillingly pregnant', 'lesbian relationship', 'contraception', 'extramarital affair', 'lgbt', 'reykjavík, iceland']
1013 Briar Lane	['haunting', 'paranormal', 'fake documentary', 'found footage', 'paranormal activity']
102 Dalmatians	['prison', 'london, england', 'release from prison', 'parrot', "women's prison", 'puppy', 'pelz', 'dog', 'dalmatian', 'live action remake', 'playful']
102 Minutes That Changed America	['new york city', 'video surveillance', 'terrorism', 'cell phone', '9/11', 'surveillance footage', 'real time']
102 Not Out	['family']
10DANCE	['dance', 'dance competition', 'based on manga', 'enemies to lovers', "boys' love (bl)"]
10th & Wolf	['philadelphia, pennsylvania', 'undercover', 'mobster', 'mafia', 'crime family']
10x10	['kidnapping', 'revenge', 'angry', 'absurd', 'complicated', 'frustrated']
10½	['child abuse', 'social worker', 'quebec', 'rehabilitation centre', 'foster care', 'behavioral disorders']
11 A.M.	['time travel', 'futuristic']
11 Blocks	['gang', 'police corruption', 'eviction']
11 Days, 11 Nights Part 3	['voodoo', 'new orleans, louisiana', 'louisiana', 'black magic', 'religion', 'softcore', 'erotic movie']
11 Harrowhouse	['caper comedy', 'jewelry heist']
11 Minutes Ago	['wedding reception', 'found footage']
11 Rebels	['samurai', 'conflict', 'battle', 'jidaigeki', 'meiji period', '1860s', 'group conflict', 'period piece', 'criminals', 'bakumatsu']
11 September Vragen	['post 9/11']
11-11-11	['sibling relationship']
11/11/11	['anti-christ', 'conspiracy']
11/8/16	['election']
119	['firefighter']
11:11	['college', 'premonition']
11:14	['robbery', 'police', 'ambulance', 'chase', 'alcohol', 'gun', 'vandalism', 'arrest', 'cop', 'murder', 'crash', 'connected', 'frantic', 'absurd', 'suspenseful', 'bewildered', 'farcical']
12	['court case', 'jurors', 'jury', 'chechnya', 'racism', 'courtroom drama']
12 And More Omissions	['anthology', 'love', 'triptych', 'modern', 'microbudget']
12 Angry Men	['death penalty', 'anonymity', 'court case', 'judge', 'jurors', 'innocence', 'witness', 'knife', 'matter of life and death', 'based on play or musical', 'trial', 'murder', 'debate', 'capital punishment', 'black and white', 'courtroom', 'angry', 'courtroom drama'], ['death penalty', 'right and justice', 'court', 'judge', 'jurors', 'revelation', 'trial', 'jury', 'remake', 'lawyer', 'argument', 'xenophobia', 'judicial system']
12 Chairs	['based on novel or book']
12 Dates of Christmas	['new york city', 'christmas party', 'blind date', 'time loop', 'falling in love', 'dead mother', 'advertising', 'dog', 'ex-boyfriend ex-girlfriend relationship', 'landscape architect', 'christmas', 'do over', 'christmas eve', 'hockey player']
12 Days of Christmas Eve	['holiday', 'time loop', 'woman director', 'christmas']
12 Directors for 12 Cities	['italy', 'world cup', 'football (soccer)', 'woman director']
12 Dog Days Till Christmas	['family', 'christmas']
12 Dogs of Christmas: Great Puppy Rescue	['christmas', 'corgi']
12 Feet Deep	['strong woman', 'sibling relationship', 'forgiveness', 'based on true story', 'family secrets', 'sister', 'swimming pool', 'survival', 'female protagonist', 'trapped', 'endurance', 'diabetic', 'female empowerment', 'determination', 'wicked woman']
12 Gifts of Christmas	['holiday', 'christmas']
12 Men of Christmas	['montana', 'rocky mountains', 'calendar', 'woman director', 'tourism']
12 Mighty Orphans	['underdog', 'based on novel or book', 'sports', 'war veteran', 'american football', 'orphanage', 'american football coach', 'great depression', 'based on true story', 'flashback', 'orphan', 'child labor', 'inspiring story', 'dust bowl', 'aftercreditsstinger', '1940s', '1930s', 'group home']
12 Months	['dream come true']
12 O'Clock Boys	['baltimore, usa', 'motorcycle']
12 Parts Per Million	['short film']
12 Pups of Christmas	['christmas']
12 Rounds	['police', 'cop', 'revenge', 'cat and mouse', 'family']
12 Rounds 3: Lockdown	['revenge', 'cat and mouse', 'family']
12 Storeys	['singapore']
12 Strong	['central intelligence agency (cia)', 'based on novel or book', 'afghanistan', 'based on true story', 'taliban', 'post 9/11', 'intense', 'melodramatic']
12 Suicidal Teens	['depression', 'suicide', 'japan', 'based on novel or book', 'bullying', 'tragic past', 'eutanasia', 'euthanasia', 'locked room mystery', 'euthanasie', 'psychological', 'mystery']
12 Wishes of Christmas	['christmas']
12 Years a Slave	['slavery', 'plantation', 'based on memoir or autobiography', 'violin player', 'physical abuse', 'black slave', 'usa history', 'slave owner', '19th century', 'sold into slavery', 'abolitionist', 'landowner', 'abuse of power', 'african american history']
12 and Holding	['dying and death', 'new jersey', 'loss of loved one', 'tree house', 'twins', 'accidental killing']
12 to Midnight	['suspenseful']
12 to the Moon	['moon', 'space travel', 'alien', 'astronaut', 'alien invasion']
120	['mountain', 'munition', 'turkey']
120 Seconds to Get Elected	['politician']
122	['escape', 'police', 'hospital']
125 Years Memory	['friendship', 'japan', 'shipwreck', 'world peace', 'based on true story', 'historical', 'compassion', 'historical event', 'wakayama japan', '19th century', 'turkish', 'kushimoto']
127 Hours	['canyon', 'based on novel or book', 'utah', 'photography', 'despair', 'hiking', 'biography', 'engineer', 'based on true story', 'alone', 'mountain biking', 'struggle for survival', 'trapped', 'boulder', 'cavern', 'video recorder', 'adventurer', 'rock climbing', 'isolated', 'hikers', 'memories', 'hallucinations', 'desperation']
12:01	['time travel', 'time loop']
12:08 East of Bucharest	['romanian new wave']
12th & Delaware	['woman director']
13	['new york city', 'greed', 'ohio', 'flashback', 'remake', 'revenge', 'russian roulette', 'mansion', 'train', 'police detective', 'drug overdose', 'revolver', 'mental hospital', 'death game']
13 Assassins	['suicide', 'mission', 'japan', 'assassin', 'samurai', 'immortality', 'swordsman', 'massacre', 'battle', 'samurai sword', 'seppuku', 'code of honor', 'ronin', 'kimono', 'jidaigeki', 'edo period', 'warrior', '19th century', 'harakiri', 'bakumatsu'], ['japan', 'assassin', 'samurai', 'samurai sword', 'jidaigeki', 'edo period', 'chanbara', 'group conflict', 'bushi', '時代劇']
13 Cameras	['video surveillance', 'bad landlord']
13 Days Till Summer	['slasher', 'home invasion', 'psycho killer', 'trapped in a house', 'masked killer']
13 Days in France	['sports', 'olympic games', 'olympian sports team', 'olympian village', 'behind the scenes', 'olympic athlete', 'behind the wall', 'jeux olympiques']
13 Days of October	['biography']
13 Days, 13 Nights: In the Hell of Kabul	['us army', 'based on true story', 'afghanistan war (2001-2021)', 'kabul']
13 Eerie	['experiment', 'bus', 'marijuana', 'zombie', 'corpse', 'cannibal', 'forensic science', 'death camp', 'acid']
13 Fanboy	['slasher']
13 Fighting Men	['gold']
13 Frightened Girls	['chauffeur', 'espionage', 'boarding school', 'spy', 'double agent', 'murder', 'russian spy']
13 Ghosts	['mask', 'lion', 'museum', 'haunted house', 'revenge', 'ouija board', 'inheritance', 'mansion', 'black and white', 'ghost', 'séance', 'lion tamer', 'gimmick']
13 Going on 30	['new york city', 'photographer', 'editor-in-chief', 'time travel', 'wish', 'beautiful woman', 'child as an adult', 'friends in love', 'age change', 'teenager', 'didactic', 'time jump']
13 Graves	['hitman', 'gangster', 'grave', 'forest', 'woods', 'murder']
13 Hours: The Secret Soldiers of Benghazi	['central intelligence agency (cia)', 'based on novel or book', 'libya', 'assault rifle', 'grave', 'mercenary', 'melancholy', 'heroism', 'biography', 'based on true story', 'explosion', 'biting', 'american abroad', 'death', 'blunt', 'mourning', 'questioning', 'angry', 'aggressive', 'frantic', 'grim', 'reflective', 'u.s. ambassador', 'complex', 'anxious', 'cautionary', 'provocative', 'factual', 'critical', 'incredulous', 'tense', 'intense', 'bitter', 'appreciative', 'baffled', 'bewildered', 'bold', 'commanding', 'defiant', 'dignified', 'disapproving', 'disdainful', 'disheartening', 'enraged', 'foreboding', 'frustrated', 'harsh', 'informative', 'scathing', 'sincere', 'sympathetic', 'tragic', 'wry']
13 Minutes	['assassin', 'nazi', 'bomb', 'world war ii'], ['rescue', 'pregnancy', 'tornado', 'natural disaster', 'destruction', 'lgbt', 'bad weather', 'gay theme']
13 Rue Madeleine	['espionage', 'spy', 'world war ii', 'd-day']
13 Semester	['friendship', 'commune', 'university', 'lecture']
13 Slays Till X-Mas	['anthology']
13 Tzameti	['france', 'repair', 'test of courage', 'overdose', 'munition', 'black and white', 'drugs', 'gay theme', 'death game']
13 Washington Square	['family conflict', 'aristocracy', 'secrets', 'comedy']
13 West Street	['juvenile delinquent']
13: Game of Death	['politics', 'dark comedy', 'based on comic', 'debt', 'death game', 'disgusted']
13: The Musical	['new york city', 'indiana, usa', 'bar mitzvah', 'musical', 'based on play or musical', 'coming of age', 'teenage boy', 'social differences', 'divorced parents', 'jewish legend']
13Hrs	['england', 'barn', 'murder', 'werewolf', 'storm', 'power outage', 'attic']
13th	['prison', 'politics', 'slavery', 'race politics', 'murder', 'conspiracy', 'racism', 'race', 'illegal drugs', 'political correctness', 'woman director', 'usa history', 'political debate', 'political documentary', 'social & cultural documentary', 'african american history']
13th Child	['new jersey', 'devil', 'demon']
13th of September, 2004	['chicago, illinois', 'friendship', 'urban life', 'coming of age', 'survival', 'foster family', 'personal growth', 'life changing', 'school life', 'urban comedy', 'foster care', 'teen social issues', 'teenage', 'secrets']
14 Blades	['martial arts', 'sword fight', 'wuxia', '17th century']
14 Cameras	['vacation', 'hidden camera', 'swimming pool', 'sequel', 'murder', 'voyeurism', 'rental']
14 Carrot Rabbit	['gold rush', 'claim jumper', 'klondike', 'cartoon rabbit', 'yukon, canada', 'klondike gold rush', 'chump']
14 Days, 12 Nights	['vietnam', 'grief', 'loss of child']
14 Hours	['disaster']
14 Peaks: Nothing Is Impossible	['mountain', 'mountaineer', 'k2', 'mountain climbing', 'mountaineering', 'mount everest', 'manaslu', 'nanga parbat', 'mountaineering documentary film']
14+	['coming of age', 'teenage crush', 'teenage boy', 'teenage love', 'infatuation', 'young love', 'teenager']
